"long","lat","aday","amon","id"
174.875,-35.875,141,5,1
174.625,-35.625,142,5,1
174.875,-35.875,143,5,1
174.875,-36.375,144,5,1
174.875,-36.375,145,5,1
174.875,-36.375,146,5,1
174.875,-36.375,147,5,1
174.875,-36.375,148,5,1
174.875,-36.625,149,5,1
174.875,-36.625,150,6,1
174.875,-36.625,151,6,1
174.875,-36.625,152,6,1
174.875,-36.625,153,6,1
174.875,-36.625,154,6,1
174.875,-36.625,155,6,1
174.875,-36.375,156,6,1
174.875,-36.625,157,6,1
174.875,-36.625,158,6,1
174.875,-36.625,159,6,1
174.875,-36.625,160,6,1
174.875,-36.375,161,6,1
174.875,-36.625,162,6,1
174.875,-36.625,163,6,1
174.875,-36.625,164,6,1
174.875,-36.125,165,6,1
174.875,-36.625,166,6,1
174.875,-36.625,167,6,1
174.875,-36.625,168,6,1
174.875,-36.625,169,6,1
174.875,-36.375,170,6,1
174.875,-36.625,171,6,1
174.875,-36.625,172,6,1
174.875,-36.625,173,6,1
174.875,-35.625,174,6,1
174.875,-35.375,175,6,1
174.875,-36.375,176,6,1
174.875,-36.375,177,6,1
174.875,-36.625,178,6,1
174.875,-36.625,179,6,1
174.875,-36.125,180,7,1
174.875,-35.625,181,7,1
174.875,-35.625,182,7,1
174.875,-36.375,183,7,1
174.875,-36.625,184,7,1
174.875,-36.625,185,7,1
174.875,-36.625,186,7,1
174.875,-36.375,187,7,1
174.875,-36.375,188,7,1
174.875,-36.125,189,7,1
174.875,-36.625,190,7,1
174.875,-36.625,191,7,1
174.875,-36.625,192,7,1
174.875,-36.375,193,7,1
174.875,-36.375,194,7,1
174.875,-36.375,195,7,1
174.875,-36.125,196,7,1
174.875,-36.625,197,7,1
174.625,-35.875,198,7,1
174.875,-36.125,199,7,1
174.625,-35.625,200,7,1
174.875,-36.375,201,7,1
168.625,-22.375,13,1,2
168.875,-22.875,14,1,2
168.875,-23.125,15,1,2
169.875,-23.875,16,1,2
169.625,-24.375,17,1,2
169.625,-23.875,18,1,2
169.625,-24.125,19,1,2
169.875,-25.375,20,1,2
170.375,-25.625,21,1,2
170.125,-25.375,22,1,2
170.875,-26.125,23,1,2
170.875,-25.875,24,1,2
170.875,-26.875,25,1,2
170.875,-27.125,26,1,2
171.375,-27.375,27,1,2
171.875,-27.125,28,1,2
173.125,-28.125,29,1,2
173.875,-29.375,30,2,2
174.625,-29.375,31,2,2
174.375,-29.125,32,2,2
174.875,-29.875,33,2,2
174.875,-30.375,34,2,2
174.625,-30.375,35,2,2
174.875,-31.125,36,2,2
174.875,-31.375,37,2,2
174.375,-31.875,38,2,2
174.375,-31.875,39,2,2
174.625,-33.375,40,2,2
174.875,-33.875,41,2,2
173.875,-34.875,42,2,2
174.875,-35.375,43,2,2
